season,team_abbr,gp,w,l,otl,pts,pts_pct,gf,ga,gd
1983,DET,80,21,44,0,57,0.356,263,344,-81
1983,EDM,80,47,21,0,106,0.662,424,315,109
1983,HFD,80,19,54,0,45,0.281,261,403,-142
1983,LAK,80,27,41,0,66,0.412,308,365,-57
1983,MNS,80,40,24,0,96,0.6,321,290,31
1983,MTL,80,42,24,0,98,0.612,350,286,64
1983,NJD,80,17,49,0,48,0.3,230,338,-108
1983,NYI,80,42,26,0,96,0.6,302,226,76
1983,NYR,80,35,35,0,80,0.5,306,287,19
1983,PHI,80,49,23,0,106,0.662,326,240,86
1983,PIT,80,18,53,0,45,0.281,257,394,-137
1983,QUE,80,34,34,0,80,0.5,343,336,7
1983,STL,80,25,40,0,65,0.406,285,316,-31
1983,TOR,80,28,40,0,68,0.425,293,330,-37
1983,VAN,80,30,35,0,75,0.469,303,309,-6
1983,WIN,80,33,39,0,74,0.462,311,333,-22
1983,WSH,80,39,25,0,94,0.588,306,283,23
1984,BOS,80,49,25,0,104,0.65,336,261,75
1984,BUF,80,48,25,0,103,0.644,315,257,58
1984,CHI,80,30,42,0,68,0.425,277,311,-34
1984,DET,80,31,42,0,69,0.431,298,323,-25
1984,EDM,80,57,18,0,119,0.744,446,314,132
1984,HFD,80,28,42,0,66,0.412,288,320,-32
1984,LAK,80,23,44,0,59,0.369,309,376,-67
1984,MNS,80,39,31,0,88,0.55,345,344,1
1984,MTL,80,35,40,0,75,0.469,286,295,-9
1984,NJD,80,17,56,0,41,0.256,231,350,-119
1984,NYI,80,50,26,0,104,0.65,357,269,88
1984,NYR,80,42,29,0,93,0.581,314,304,10
1984,PHI,80,44,26,0,98,0.612,350,290,60
1984,PIT,80,16,58,0,38,0.238,254,390,-136
1984,QUE,80,42,28,0,94,0.588,360,278,82
1984,STL,80,32,41,0,71,0.444,293,316,-23
1984,TOR,80,26,45,0,61,0.381,303,387,-84
1984,VAN,80,32,39,0,73,0.456,306,328,-22
1984,WIN,80,31,38,0,73,0.456,340,374,-34
1984,WSH,80,48,27,0,101,0.631,308,226,82
1985,BOS,80,36,34,0,82,0.512,303,287,16
1985,BUF,80,38,28,0,90,0.562,290,237,53
1985,CHI,80,38,35,0,83,0.519,309,299,10
1985,DET,80,27,41,0,66,0.412,313,357,-44
1985,EDM,80,49,20,0,109,0.681,401,298,103
1985,HFD,80,30,41,0,69,0.431,268,318,-50
1985,LAK,80,34,32,0,82,0.512,339,326,13
1985,MNS,80,25,43,0,62,0.388,268,321,-53
1985,MTL,80,41,27,0,94,0.588,309,262,47
1985,NJD,80,22,48,0,54,0.338,264,346,-82
1985,NYI,80,40,34,0,86,0.538,345,312,33
1985,NYR,80,26,44,0,62,0.388,295,345,-50
1985,PHI,80,53,20,0,113,0.706,348,241,107
1985,PIT,80,24,51,0,53,0.331,276,385,-109
1985,QUE,80,41,30,0,91,0.569,323,275,48
1985,STL,80,37,31,0,86,0.538,299,288,11
1985,TOR,80,20,52,0,48,0.3,253,358,-105
1985,VAN,80,25,46,0,59,0.369,284,401,-117
1985,WIN,80,43,27,0,96,0.6,358,332,26
1985,WSH,80,46,25,0,101,0.631,322,240,82
1986,BOS,80,37,31,0,86,0.538,311,288,23
1986,BUF,80,37,37,0,80,0.5,296,291,5
1986,CHI,80,39,33,0,86,0.538,351,349,2
1986,DET,80,17,57,0,40,0.25,266,415,-149
1986,EDM,80,56,17,0,119,0.744,426,310,116
1986,HFD,80,40,36,0,84,0.525,332,302,30
1986,LAK,80,23,49,0,54,0.338,284,389,-105
1986,MNS,80,38,33,0,85,0.531,327,305,22
1986,MTL,80,40,33,0,87,0.544,330,280,50
1986,NJD,80,28,49,0,59,0.369,300,374,-74
1986,NYI,80,39,29,0,90,0.562,327,284,43
1986,NYR,80,36,38,0,78,0.488,280,276,4
1986,PHI,80,53,23,0,110,0.688,335,241,94
1986,PIT,80,34,38,0,76,0.475,313,305,8
1986,QUE,80,43,31,0,92,0.575,330,289,41
1986,STL,80,37,34,0,83,0.519,302,291,11
1986,TOR,80,25,48,0,57,0.356,311,386,-75
1986,VAN,80,23,44,0,59,0.369,282,333,-51
1986,WIN,80,26,47,0,59,0.369,295,372,-77
1986,WSH,80,50,23,0,107,0.669,315,272,43
1987,BOS,80,39,34,0,85,0.531,301,276,25
1987,BUF,80,28,44,0,64,0.4,280,308,-28
1987,CHI,80,29,37,0,72,0.45,290,310,-20
1987,DET,80,34,36,0,78,0.488,260,274,-14
1987,EDM,80,50,24,0,106,0.662,372,284,88
1987,HFD,80,43,30,0,93,0.581,287,270,17
1987,LAK,80,31,41,0,70,0.438,318,341,-23
1987,MNS,80,30,40,0,70,0.438,296,314,-18
1987,MTL,80,41,29,0,92,0.575,277,241,36
1987,NJD,80,29,45,0,64,0.4,293,368,-75
1987,NYI,80,35,33,0,82,0.512,279,281,-2
1987,NYR,80,34,38,0,76,0.475,307,323,-16
1987,PHI,80,46,26,0,100,0.625,310,245,65
1987,PIT,80,30,38,0,72,0.45,297,290,7
1987,QUE,80,31,39,0,72,0.45,267,276,-9
1987,STL,80,32,33,0,79,0.494,281,293,-12
1987,TOR,80,32,42,0,70,0.438,286,319,-33
1987,VAN,80,29,43,0,66,0.412,282,314,-32
1987,WIN,80,40,32,0,88,0.55,279,271,8
1987,WSH,80,38,32,0,86,0.538,285,278,7
1988,BOS,80,44,30,0,94,0.588,300,251,49
1988,BUF,80,37,32,0,85,0.531,283,305,-22
1988,CHI,80,30,41,0,69,0.431,284,328,-44
1988,DET,80,41,28,0,93,0.581,322,269,53
1988,EDM,80,44,25,0,99,0.619,363,288,75
1988,HFD,80,35,38,0,77,0.481,249,267,-18
1988,LAK,80,30,42,0,68,0.425,318,359,-41
1988,MNS,80,19,48,0,51,0.319,242,349,-107
1988,MTL,80,45,22,0,103,0.644,298,238,60
1988,NJD,80,38,36,0,82,0.512,295,296,-1
1988,NYI,80,39,31,0,88,0.55,308,267,41
1988,NYR,80,36,34,0,82,0.512,300,283,17
1988,PHI,80,38,33,0,85,0.531,292,292,0
1988,PIT,80,36,35,0,81,0.506,319,316,3
1988,QUE,80,32,43,0,69,0.431,271,306,-35
1988,STL,80,34,38,0,76,0.475,278,294,-16
1988,TOR,80,21,49,0,52,0.325,273,345,-72
1988,VAN,80,25,46,0,59,0.369,272,320,-48
1988,WIN,80,33,36,0,77,0.481,292,310,-18
1988,WSH,80,38,33,0,85,0.531,281,249,32
1989,BOS,80,37,29,0,88,0.55,289,256,33
1989,BUF,80,38,35,0,83,0.519,291,299,-8
1989,CHI,80,27,41,0,66,0.412,297,335,-38
1989,DET,80,34,34,0,80,0.5,313,316,-3
1989,EDM,80,38,34,0,84,0.525,325,306,19
1989,HFD,80,37,38,0,79,0.494,299,290,9
1989,LAK,80,42,31,0,91,0.569,376,335,41
1989,MNS,80,27,37,0,70,0.438,258,278,-20
1989,MTL,80,53,18,0,115,0.719,315,218,97
1989,NJD,80,27,41,0,66,0.412,281,325,-44
1989,NYI,80,28,47,0,61,0.381,265,325,-60
1989,NYR,80,37,35,0,82,0.512,310,307,3
1989,PHI,80,36,36,0,80,0.5,307,285,22
1989,PIT,80,40,33,0,87,0.544,347,349,-2
1989,QUE,80,27,46,0,61,0.381,269,342,-73
1989,STL,80,33,35,0,78,0.488,275,285,-10
1989,TOR,80,28,46,0,62,0.388,259,342,-83
1989,VAN,80,33,39,0,74,0.462,251,253,-2
1989,WIN,80,26,42,0,64,0.4,300,355,-55
1989,WSH,80,41,29,0,92,0.575,305,259,46
1990,BOS,80,46,25,0,101,0.631,289,232,57
1990,BUF,80,45,27,0,98,0.612,286,248,38
1990,CHI,80,41,33,0,88,0.55,316,294,22
1990,DET,80,28,38,0,70,0.438,288,323,-35
1990,EDM,80,38,28,0,90,0.562,315,283,32
1990,HFD,80,38,33,0,85,0.531,275,268,7
1990,LAK,80,34,39,0,75,0.469,338,337,1
1990,MNS,80,36,40,0,76,0.475,284,291,-7
1990,MTL,80,41,28,0,93,0.581,288,234,54
1990,NJD,80,37,34,0,83,0.519,295,288,7
1990,NYI,80,31,38,0,73,0.456,281,288,-7
1990,NYR,80,36,31,0,85,0.531,279,267,12
1990,PHI,80,30,39,0,71,0.444,290,297,-7
1990,PIT,80,32,40,0,72,0.45,318,359,-41
1990,QUE,80,12,61,0,31,0.194,240,407,-167
1990,STL,80,37,34,0,83,0.519,295,279,16
1990,TOR,80,38,38,0,80,0.5,337,358,-21
1990,VAN,80,25,41,0,64,0.4,245,306,-61
1990,WIN,80,37,32,0,85,0.531,298,290,8
1990,WSH,80,36,38,0,78,0.488,284,275,9
1991,BOS,80,44,24,0,100,0.625,299,264,35
1991,BUF,80,31,30,0,81,0.506,292,278,14
1991,CHI,80,49,23,0,106,0.662,284,211,73
1991,DET,80,34,38,0,76,0.475,273,298,-25
1991,EDM,80,37,37,0,80,0.5,272,272,0
1991,HFD,80,31,38,0,73,0.456,238,276,-38
1991,LAK,80,46,24,0,102,0.638,340,254,86
1991,MNS,80,27,39,0,68,0.425,256,266,-10
1991,MTL,80,39,30,0,89,0.556,273,249,24
1991,NJD,80,32,33,0,79,0.494,272,264,8
1991,NYI,80,25,45,0,60,0.375,223,290,-67
1991,NYR,80,36,31,0,85,0.531,297,265,32
1991,PHI,80,33,37,0,76,0.475,252,267,-15
1991,PIT,80,41,33,0,88,0.55,342,305,37
1991,QUE,80,16,50,0,46,0.288,236,354,-118
1991,STL,80,47,22,0,105,0.656,310,250,60
1991,TOR,80,23,46,0,57,0.356,241,318,-77
1991,VAN,80,28,43,0,65,0.406,243,315,-72
1991,WIN,80,26,43,0,63,0.394,260,288,-28
1991,WSH,80,37,36,0,81,0.506,258,258,0
1992,BOS,80,36,32,0,84,0.525,270,275,-5
1992,BUF,80,31,37,0,74,0.462,289,299,-10
1992,CHI,80,36,29,0,87,0.544,257,236,21
1992,DET,80,43,25,0,98,0.612,320,256,64
1992,EDM,80,36,34,0,82,0.512,295,297,-2
1992,HFD,80,26,41,0,65,0.406,247,283,-36
1992,LAK,80,35,31,0,84,0.525,287,296,-9
1992,MNS,80,32,42,0,70,0.438,246,278,-32
1992,MTL,80,41,28,0,93,0.581,267,207,60
1992,NJD,80,38,31,0,87,0.544,289,259,30
1992,NYI,80,34,35,0,79,0.494,291,299,-8
1992,NYR,80,50,25,0,105,0.656,321,246,75
1992,PHI,80,32,37,0,75,0.469,252,273,-21
1992,PIT,80,39,32,0,87,0.544,343,308,35
1992,QUE,80,20,48,0,52,0.325,255,318,-63
1992,SJS,80,17,58,0,39,0.244,219,359,-140
1992,STL,80,36,33,0,83,0.519,279,266,13
1992,TOR,80,30,43,0,67,0.419,234,294,-60
1992,VAN,80,42,26,0,96,0.6,285,250,35
1992,WIN,80,33,32,0,81,0.506,251,244,7
1992,WSH,80,45,27,0,98,0.612,330,275,55
1993,BOS,84,51,26,0,109,0.649,332,268,64
1993,BUF,84,38,36,0,86,0.512,335,297,38
1993,CHI,84,47,25,0,106,0.631,279,230,49
1993,DET,84,47,28,0,103,0.613,369,280,89
1993,EDM,84,26,50,0,60,0.357,242,337,-95
1993,HFD,84,26,52,0,58,0.345,284,369,-85
1993,LAK,84,39,35,0,88,0.524,338,340,-2
1993,MNS,84,36,38,0,82,0.488,272,293,-21
1993,MTL,84,48,30,0,102,0.607,326,280,46
1993,NJD,84,40,37,0,87,0.518,308,299,9
1993,NYI,84,40,37,0,87,0.518,335,297,38
1993,NYR,84,34,39,0,79,0.47,304,308,-4
1993,OTT,84,10,70,0,24,0.143,202,395,-193
1993,PHI,84,36,37,0,83,0.494,319,319,0
1993,PIT,84,56,21,0,119,0.708,367,268,99
1993,QUE,84,47,27,0,104,0.619,351,300,51
1993,SJS,84,11,71,0,24,0.143,218,414,-196
1993,STL,84,37,36,0,85,0.506,282,278,4
1993,TBL,84,23,54,0,53,0.315,245,332,-87
1993,TOR,84,44,29,0,99,0.589,288,241,47
1993,VAN,84,46,29,0,101,0.601,346,278,68
1993,WIN,84,40,37,0,87,0.518,322,320,2
1993,WSH,84,43,34,0,93,0.554,325,286,39
1994,ANA,84,33,46,0,71,0.423,229,251,-22
1994,BOS,84,42,29,0,97,0.577,289,252,37
1994,BUF,84,43,32,0,95,0.565,282,218,64
1994,CHI,84,39,36,0,87,0.518,254,240,14
1994,DAL,84,42,29,0,97,0.577,286,265,21
1994,DET,84,46,30,0,100,0.595,356,275,81
1994,EDM,84,25,45,0,64,0.381,261,305,-44
1994,FLA,84,33,34,0,83,0.494,233,233,0
1994,HFD,84,27,48,0,63,0.375,227,288,-61
1994,LAK,84,27,45,0,66,0.393,294,322,-28
1994,MTL,84,41,29,0,96,0.571,283,248,35
1994,NJD,84,47,25,0,106,0.631,306,220,86
1994,NYI,84,36,36,0,84,0.5,282,264,18
1994,NYR,84,52,24,0,112,0.667,299,231,68
1994,OTT,84,14,61,0,37,0.22,201,397,-196
1994,PHI,84,35,39,0,80,0.476,294,314,-20
1994,PIT,84,44,27,0,101,0.601,299,285,14
1994,QUE,84,34,42,0,76,0.452,277,292,-15
1994,SJS,84,33,35,0,82,0.488,252,265,-13
1994,STL,84,40,33,0,91,0.542,270,283,-13
1994,TBL,84,30,43,0,71,0.423,224,251,-27
1994,TOR,84,43,29,0,98,0.583,280,243,37
1994,VAN,84,41,40,0,85,0.506,279,276,3
1994,WIN,84,24,51,0,57,0.339,245,344,-99
1994,WSH,84,39,35,0,88,0.524,277,263,14
1995,ANA,48,16,27,0,37,0.385,125,164,-39
1995,BOS,48,27,18,0,57,0.594,150,127,23
1995,BUF,48,22,19,0,51,0.531,130,119,11
1995,CHI,48,24,19,0,53,0.552,156,115,41
1995,DAL,48,17,23,0,42,0.438,136,135,1
1995,DET,48,33,11,0,70,0.729,180,117,63
1995,EDM,48,17,27,0,38,0.396,136,183,-47
1995,FLA,48,20,22,0,46,0.479,115,127,-12
1995,HFD,48,19,24,0,43,0.448,127,141,-14
1995,LAK,48,16,23,0,41,0.427,142,174,-32
1995,MTL,48,18,23,0,43,0.448,125,148,-23
1995,NJD,48,22,18,0,52,0.542,136,121,15
1995,NYI,48,15,28,0,35,0.365,126,158,-32
1995,NYR,48,22,23,0,47,0.49,139,134,5
1995,OTT,48,9,34,0,23,0.24,117,174,-57
1995,PHI,48,28,16,0,60,0.625,150,132,18
1995,PIT,48,29,16,0,61,0.635,181,158,23
1995,QUE,48,30,13,0,65,0.677,185,134,51
1995,SJS,48,19,25,0,42,0.438,129,161,-32
1995,STL,48,28,15,0,61,0.635,178,135,43
1995,TBL,48,17,28,0,37,0.385,120,144,-24
1995,TOR,48,21,19,0,50,0.521,135,146,-11
1995,VAN,48,18,18,0,48,0.5,153,148,5
1995,WIN,48,16,25,0,39,0.406,157,177,-20
1995,WSH,48,22,18,0,52,0.542,136,120,16
1996,ANA,82,35,39,0,78,0.476,234,247,-13
1996,BOS,82,40,31,0,91,0.555,282,269,13
1996,BUF,82,33,42,0,73,0.445,247,262,-15
1996,CHI,82,40,28,0,94,0.573,273,220,53
1996,COL,82,47,25,0,104,0.634,326,240,86
1996,DAL,82,26,42,0,66,0.402,227,280,-53
1996,DET,82,62,13,0,131,0.799,325,181,144
1996,EDM,82,30,44,0,68,0.415,240,304,-64
1996,FLA,82,41,31,0,92,0.561,254,234,20
1996,HFD,82,34,39,0,77,0.47,237,259,-22
1996,LAK,82,24,40,0,66,0.402,256,302,-46
