season,team_abbr,gp,w,l,otl,pts,pts_pct,gf,ga,gd
2001,EDM,82,39,28,3,93,0.567,243,222,21
2001,FLA,82,22,38,9,66,0.402,200,246,-46
2001,LAK,82,38,28,3,92,0.561,252,228,24
2001,MIN,82,25,39,5,68,0.415,168,210,-42
2001,MTL,82,28,40,6,70,0.427,206,232,-26
2001,NJD,82,48,19,3,111,0.677,295,195,100
2001,NYI,82,21,51,3,52,0.317,185,268,-83
2001,NYR,82,33,43,1,72,0.439,250,290,-40
2001,OTT,82,48,21,4,109,0.665,274,205,69
2001,PHI,82,43,25,3,100,0.61,240,207,33
2001,PHX,82,35,27,3,90,0.549,214,212,2
2001,PIT,82,42,28,3,96,0.585,281,256,25
2001,SJS,82,40,27,3,95,0.579,217,192,25
2001,STL,82,43,22,5,103,0.628,249,195,54
2001,TBL,82,24,47,5,59,0.36,201,280,-79
2001,TOR,82,37,29,5,90,0.549,232,207,25
2001,VAN,82,36,28,7,90,0.549,239,238,1
2001,WSH,82,41,27,4,96,0.585,233,211,22
2002,ANA,82,29,42,3,69,0.421,175,198,-23
2002,ATL,82,19,47,5,54,0.329,187,288,-101
2002,BOS,82,43,24,9,101,0.616,236,201,35
2002,BUF,82,35,35,1,82,0.5,213,200,13
2002,CAR,82,35,26,5,91,0.555,217,217,0
2002,CBJ,82,22,47,5,57,0.348,164,255,-91
2002,CHI,82,41,27,1,96,0.585,216,207,9
2002,COL,82,45,28,1,99,0.604,212,169,43
2002,DAL,82,36,28,5,90,0.549,215,213,2
2002,DET,82,51,17,4,116,0.707,251,187,64
2002,EDM,82,38,28,4,92,0.561,205,182,23
2002,FLA,82,22,44,6,60,0.366,180,250,-70
2002,LAK,82,40,27,4,95,0.579,214,190,24
2002,MIN,82,26,35,9,73,0.445,195,238,-43
2002,MTL,82,36,31,3,87,0.53,207,209,-2
2002,NJD,82,41,28,4,95,0.579,205,187,18
2002,NYI,82,42,28,4,96,0.585,239,220,19
2002,NYR,82,36,38,4,80,0.488,227,258,-31
2002,OTT,82,39,27,7,94,0.573,243,208,35
2002,PHI,82,42,27,3,97,0.591,234,192,42
2002,PHX,82,40,27,6,95,0.579,228,210,18
2002,PIT,82,28,41,5,69,0.421,198,249,-51
2002,SJS,82,44,27,3,99,0.604,248,199,49
2002,STL,82,43,27,4,98,0.598,227,188,39
2002,TBL,82,27,40,4,69,0.421,178,219,-41
2002,TOR,82,43,25,4,100,0.61,249,207,42
2002,VAN,82,42,30,3,94,0.573,254,211,43
2002,WSH,82,36,33,2,85,0.518,228,240,-12
2003,ANA,82,40,27,6,95,0.579,203,193,10
2003,ATL,82,31,39,5,74,0.451,226,284,-58
2003,BOS,82,36,31,4,87,0.53,245,237,8
2003,BUF,82,27,37,8,72,0.439,190,219,-29
2003,CAR,82,22,43,6,61,0.372,171,240,-69
2003,CBJ,82,29,42,3,69,0.421,213,263,-50
2003,CHI,82,30,33,6,79,0.482,207,226,-19
2003,COL,82,42,19,8,105,0.64,251,194,57
2003,DAL,82,46,17,4,111,0.677,245,169,76
2003,DET,82,48,20,4,110,0.671,269,203,66
2003,EDM,82,36,26,9,92,0.561,231,230,1
2003,FLA,82,24,36,9,70,0.427,176,237,-61
2003,LAK,82,33,37,6,78,0.476,203,221,-18
2003,MIN,82,42,29,1,95,0.579,198,178,20
2003,MTL,82,30,35,9,77,0.47,206,234,-28
2003,NJD,82,46,20,6,108,0.659,216,166,50
2003,NYI,82,35,34,2,83,0.506,224,231,-7
2003,NYR,82,32,36,4,78,0.476,210,231,-21
2003,OTT,82,52,21,1,113,0.689,263,182,81
2003,PHI,82,45,20,4,107,0.652,211,166,45
2003,PHX,82,31,35,5,78,0.476,204,230,-26
2003,PIT,82,27,44,5,65,0.396,189,255,-66
2003,SJS,82,28,37,8,73,0.445,214,239,-25
2003,STL,82,41,24,6,99,0.604,253,222,31
2003,TBL,82,36,25,5,93,0.567,219,210,9
2003,TOR,82,44,28,3,98,0.598,236,208,28
2003,VAN,82,45,23,1,104,0.634,264,208,56
2003,WSH,82,39,29,6,92,0.561,224,220,4
2004,ANA,82,29,35,8,76,0.463,184,213,-29
2004,ATL,82,33,37,4,78,0.476,214,243,-29
2004,BOS,82,41,19,7,104,0.634,209,188,21
2004,BUF,82,37,34,4,85,0.518,220,221,-1
2004,CAR,82,28,34,6,76,0.463,172,209,-37
2004,CBJ,82,25,45,4,62,0.378,177,238,-61
2004,CHI,82,20,43,8,59,0.36,188,259,-71
2004,COL,82,40,22,7,100,0.61,236,198,38
2004,DAL,82,41,26,2,97,0.591,194,175,19
2004,DET,82,48,21,2,109,0.665,255,189,66
2004,EDM,82,36,29,5,89,0.543,221,208,13
2004,FLA,82,28,35,4,75,0.457,188,221,-33
2004,LAK,82,28,29,9,81,0.494,205,217,-12
2004,MIN,82,30,29,3,83,0.506,188,183,5
2004,MTL,82,41,30,4,93,0.567,208,192,16
2004,NJD,82,43,25,2,100,0.61,213,164,49
2004,NYI,82,38,29,4,91,0.555,237,210,27
2004,NYR,82,27,40,8,69,0.421,206,250,-44
2004,OTT,82,43,23,6,102,0.622,262,189,73
2004,PHI,82,40,21,6,101,0.616,229,186,43
2004,PHX,82,22,36,6,68,0.415,188,245,-57
2004,PIT,82,23,47,4,58,0.354,190,303,-113
2004,SJS,82,43,21,6,104,0.634,219,183,36
2004,STL,82,39,30,2,91,0.555,191,198,-7
2004,TBL,82,46,22,6,106,0.646,245,192,53
2004,TOR,82,45,24,3,103,0.628,242,204,38
2004,VAN,82,43,24,5,101,0.616,235,194,41
2004,WSH,82,23,46,3,59,0.36,186,253,-67
2006,ANA,82,43,27,12,98,0.598,254,229,25
2006,ATL,82,41,33,8,90,0.549,281,275,6
2006,BOS,82,29,37,16,74,0.451,230,266,-36
2006,BUF,82,52,24,6,110,0.671,281,239,42
2006,CAR,82,52,22,8,112,0.683,294,260,34
2006,CBJ,82,35,43,4,74,0.451,223,279,-56
2006,CHI,82,26,43,13,65,0.396,211,285,-74
2006,COL,82,43,30,9,95,0.579,283,257,26
2006,DAL,82,53,23,6,112,0.683,265,218,47
2006,DET,82,58,16,8,124,0.756,305,209,96
2006,EDM,82,41,28,13,95,0.579,256,251,5
2006,FLA,82,37,34,11,85,0.518,240,257,-17
2006,LAK,82,42,35,5,89,0.543,249,270,-21
2006,MIN,82,38,36,8,84,0.512,231,215,16
2006,MTL,82,42,31,9,93,0.567,243,247,-4
2006,NJD,82,46,27,9,101,0.616,242,229,13
2006,NYI,82,36,40,6,78,0.476,230,278,-48
2006,NYR,82,44,26,12,100,0.61,257,215,42
2006,OTT,82,52,21,9,113,0.689,314,211,103
2006,PHI,82,45,26,11,101,0.616,267,259,8
2006,PHX,82,38,39,5,81,0.494,246,271,-25
2006,PIT,82,22,46,14,58,0.354,244,316,-72
2006,SJS,82,44,27,11,99,0.604,266,242,24
2006,STL,82,21,46,15,57,0.348,197,292,-95
2006,TBL,82,43,33,6,92,0.561,252,260,-8
2006,TOR,82,41,33,8,90,0.549,257,270,-13
2006,VAN,82,42,32,8,92,0.561,256,255,1
2006,WSH,82,29,41,12,70,0.427,237,306,-69
2007,ATL,82,43,28,11,97,0.591,246,245,1
2007,BOS,82,35,41,6,76,0.463,219,289,-70
2007,BUF,82,53,22,7,113,0.689,308,242,66
2007,CAR,82,40,34,8,88,0.537,241,253,-12
2007,CBJ,82,33,42,7,73,0.445,201,249,-48
2007,CHI,82,31,42,9,71,0.433,201,258,-57
2007,COL,82,44,31,7,95,0.579,272,251,21
2007,DAL,82,50,25,7,107,0.652,226,197,29
2007,DET,82,50,19,13,113,0.689,254,199,55
2007,EDM,82,32,43,7,71,0.433,195,248,-53
2007,FLA,82,35,31,16,86,0.524,247,257,-10
2007,LAK,82,27,41,14,68,0.415,227,283,-56
2007,MIN,82,48,26,8,104,0.634,235,191,44
2007,MTL,82,42,34,6,90,0.549,245,256,-11
2007,NJD,82,49,24,9,107,0.652,216,201,15
2007,NYI,82,40,30,12,92,0.561,248,240,8
2007,NYR,82,42,30,10,94,0.573,242,216,26
2007,OTT,82,48,25,9,105,0.64,288,222,66
2007,PHI,82,22,48,12,56,0.341,214,303,-89
2007,PHX,82,31,46,5,67,0.409,216,284,-68
2007,PIT,82,47,24,11,105,0.64,277,246,31
2007,SJS,82,51,26,5,107,0.652,258,199,59
2007,STL,82,34,35,13,81,0.494,214,254,-40
2007,TBL,82,44,33,5,93,0.567,253,261,-8
2007,TOR,82,40,31,11,91,0.555,258,269,-11
2007,VAN,82,49,26,7,105,0.64,222,201,21
2007,WSH,82,28,40,14,70,0.427,235,286,-51
2008,ATL,82,34,40,8,76,0.463,216,272,-56
2008,BOS,82,41,29,12,94,0.573,212,222,-10
2008,BUF,82,39,31,12,90,0.549,255,242,13
2008,CAR,82,43,33,6,92,0.561,252,249,3
2008,CBJ,82,34,36,12,80,0.488,193,218,-25
2008,CHI,82,40,34,8,88,0.537,239,235,4
2008,COL,82,44,31,7,95,0.579,231,219,12
2008,DAL,82,45,30,7,97,0.591,242,207,35
2008,DET,82,54,21,7,115,0.701,257,184,73
2008,EDM,82,41,35,6,88,0.537,235,251,-16
2008,FLA,82,38,35,9,85,0.518,216,226,-10
2008,LAK,82,32,43,7,71,0.433,231,266,-35
2008,MIN,82,44,28,10,98,0.598,223,218,5
2008,MTL,82,47,25,10,104,0.634,262,222,40
2008,NJD,82,46,29,7,99,0.604,206,197,9
2008,NYI,82,35,38,9,79,0.482,194,243,-49
2008,NYR,82,42,27,13,97,0.591,213,199,14
2008,OTT,82,43,31,8,94,0.573,261,247,14
2008,PHI,82,42,29,11,95,0.579,248,233,15
2008,PHX,82,38,37,7,83,0.506,214,231,-17
2008,PIT,82,47,27,8,102,0.622,247,216,31
2008,SJS,82,49,23,10,108,0.659,222,193,29
2008,STL,82,33,36,13,79,0.482,205,237,-32
2008,TBL,82,31,42,9,71,0.433,223,267,-44
2008,TOR,82,36,35,11,83,0.506,231,260,-29
2008,VAN,82,39,33,10,88,0.537,213,215,-2
2008,WSH,82,43,31,8,94,0.573,242,231,11
2009,ATL,82,35,41,6,76,0.463,257,280,-23
2009,BOS,82,53,19,10,116,0.707,274,196,78
2009,BUF,82,41,32,9,91,0.555,250,234,16
2009,CAR,82,45,30,7,97,0.591,239,226,13
2009,CBJ,82,41,31,10,92,0.561,226,230,-4
2009,CHI,82,46,24,12,104,0.634,264,216,48
2009,COL,82,32,45,5,69,0.421,199,257,-58
2009,DAL,82,36,35,11,83,0.506,230,257,-27
2009,DET,82,51,21,10,112,0.683,295,244,51
2009,EDM,82,38,35,9,85,0.518,234,248,-14
2009,FLA,82,41,30,11,93,0.567,234,231,3
2009,LAK,82,34,37,11,79,0.482,207,234,-27
2009,MIN,82,40,33,9,89,0.543,219,200,19
2009,MTL,82,41,30,11,93,0.567,249,247,2
2009,NJD,82,51,27,4,106,0.646,244,209,35
2009,NYI,82,26,47,9,61,0.372,201,279,-78
2009,NYR,82,43,30,9,95,0.579,210,218,-8
2009,OTT,82,36,35,11,83,0.506,217,237,-20
2009,PHI,82,44,27,11,99,0.604,264,238,26
2009,PHX,82,36,39,7,79,0.482,208,252,-44
2009,PIT,82,45,28,9,99,0.604,264,239,25
2009,SJS,82,53,18,11,117,0.713,257,204,53
2009,STL,82,41,31,10,92,0.561,233,233,0
2009,TBL,82,24,40,18,66,0.402,210,279,-69
2009,TOR,82,34,35,13,81,0.494,250,293,-43
2009,VAN,82,45,27,10,100,0.61,246,220,26
2009,WSH,82,50,24,8,108,0.659,272,245,27
2010,ATL,82,35,34,13,83,0.506,234,256,-22
2010,BOS,82,39,30,13,91,0.555,206,200,6
2010,BUF,82,45,27,10,100,0.61,235,207,28
2010,CAR,82,35,37,10,80,0.488,230,256,-26
2010,CBJ,82,32,35,15,79,0.482,216,259,-43
2010,CHI,82,52,22,8,112,0.683,271,209,62
2010,COL,82,43,30,9,95,0.579,244,233,11
2010,DAL,82,37,31,14,88,0.537,237,254,-17
2010,DET,82,44,24,14,102,0.622,229,216,13
2010,EDM,82,27,47,8,62,0.378,214,284,-70
2010,FLA,82,32,37,13,77,0.47,208,244,-36
2010,LAK,82,46,27,9,101,0.616,241,219,22
2010,MIN,82,38,36,8,84,0.512,219,246,-27
2010,MTL,82,39,33,10,88,0.537,217,223,-6
2010,NJD,82,48,27,7,103,0.628,222,191,31
2010,NYI,82,34,37,11,79,0.482,222,264,-42
2010,NYR,82,38,33,11,87,0.53,222,218,4
2010,OTT,82,44,32,6,94,0.573,225,238,-13
2010,PHI,82,41,35,6,88,0.537,236,225,11
2010,PHX,82,50,25,7,107,0.652,225,202,23
2010,PIT,82,47,28,7,101,0.616,257,237,20
2010,SJS,82,51,20,11,113,0.689,264,215,49
2010,STL,82,40,32,10,90,0.549,225,223,2
2010,TBL,82,34,36,12,80,0.488,217,260,-43
2010,TOR,82,30,38,14,74,0.451,214,267,-53
2010,VAN,82,49,28,5,103,0.628,272,222,50
2010,WSH,82,54,15,13,121,0.738,318,233,85
2011,ATL,82,34,36,12,80,0.488,223,269,-46
2011,BOS,82,46,25,11,103,0.628,246,195,51
2011,BUF,82,43,29,10,96,0.585,245,229,16
2011,CAR,82,40,31,11,91,0.555,236,239,-3
2011,CBJ,82,34,35,13,81,0.494,215,258,-43
2011,CHI,82,44,29,9,97,0.591,258,225,33
2011,COL,82,30,44,8,68,0.415,227,288,-61
2011,DAL,82,42,29,11,95,0.579,227,233,-6
2011,DET,82,47,25,10,104,0.634,261,241,20
2011,EDM,82,25,45,12,62,0.378,193,269,-76
2011,FLA,82,30,40,12,72,0.439,195,229,-34
2011,LAK,82,46,30,6,98,0.598,219,198,21
2011,MIN,82,39,35,8,86,0.524,206,233,-27
2011,MTL,82,44,30,8,96,0.585,216,209,7
2011,NJD,82,38,39,5,81,0.494,174,209,-35
2011,NYI,82,30,39,13,73,0.445,229,264,-35
2011,NYR,82,44,33,5,93,0.567,233,198,35
2011,OTT,82,32,40,10,74,0.451,192,250,-58
2011,PHI,82,47,23,12,106,0.646,259,223,36
2011,PHX,82,43,26,13,99,0.604,231,226,5
2011,PIT,82,49,25,8,106,0.646,238,199,39
2011,SJS,82,48,25,9,105,0.64,248,213,35
2011,STL,82,38,33,11,87,0.53,240,234,6
2011,TBL,82,46,25,11,103,0.628,247,240,7
2011,TOR,82,37,34,11,85,0.518,218,251,-33
2011,VAN,82,54,19,9,117,0.713,262,185,77
2011,WSH,82,48,23,11,107,0.652,224,197,27
2012,BOS,82,49,29,4,102,0.622,269,202,67
2012,BUF,82,39,32,11,89,0.543,218,230,-12
2012,CAR,82,33,33,16,82,0.5,213,243,-30
2012,CBJ,82,29,46,7,65,0.396,202,262,-60
2012,CHI,82,45,26,11,101,0.616,248,238,10
2012,COL,82,41,35,6,88,0.537,208,220,-12
2012,DAL,82,42,35,5,89,0.543,211,222,-11
2012,DET,82,48,28,6,102,0.622,248,203,45
2012,EDM,82,32,40,10,74,0.451,212,239,-27
2012,FLA,82,38,26,18,94,0.573,203,227,-24
2012,LAK,82,40,27,15,95,0.579,194,179,15
2012,MIN,82,35,36,11,81,0.494,177,226,-49
2012,MTL,82,31,35,16,78,0.476,212,226,-14
2012,NJD,82,48,28,6,102,0.622,228,209,19
2012,NYI,82,34,37,11,79,0.482,203,255,-52
2012,NYR,82,51,24,7,109,0.665,226,187,39
2012,OTT,82,41,31,10,92,0.561,249,240,9
2012,PHI,82,47,26,9,103,0.628,264,232,32
2012,PHX,82,42,27,13,97,0.591,216,204,12
2012,PIT,82,51,25,6,108,0.659,282,221,61
2012,SJS,82,43,29,10,96,0.585,228,210,18
2012,STL,82,49,22,11,109,0.665,210,165,45
2012,TBL,82,38,36,8,84,0.512,235,281,-46
2012,TOR,82,35,37,10,80,0.488,231,264,-33
2012,VAN,82,51,22,9,111,0.677,249,198,51
2012,WPG,82,37,35,10,84,0.512,225,246,-21
2012,WSH,82,42,32,8,92,0.561,222,230,-8
2013,BOS,48,28,14,6,62,0.646,131,109,22
2013,BUF,48,21,21,6,48,0.5,125,143,-18
2013,CAR,48,19,25,4,42,0.438,128,160,-32
2013,CBJ,48,24,17,7,55,0.573,120,119,1
2013,CHI,48,36,7,5,77,0.802,155,102,53
2013,COL,48,16,25,7,39,0.406,116,152,-36
2013,DAL,48,22,22,4,48,0.5,130,142,-12
2013,DET,48,24,16,8,56,0.583,124,115,9
2013,EDM,48,19,22,7,45,0.469,125,134,-9
2013,FLA,48,15,27,6,36,0.375,112,171,-59
2013,LAK,48,27,16,5,59,0.615,133,118,15
2013,MIN,48,26,19,3,55,0.573,122,127,-5
2013,MTL,48,29,14,5,63,0.656,149,126,23
2013,NJD,48,19,19,10,48,0.5,112,129,-17
2013,NYI,48,24,17,7,55,0.573,139,139,0
2013,NYR,48,26,18,4,56,0.583,130,112,18
2013,OTT,48,25,17,6,56,0.583,116,104,12
2013,PHI,48,23,22,3,49,0.51,133,141,-8
2013,PHX,48,21,18,9,51,0.531,125,131,-6
2013,PIT,48,36,12,0,72,0.75,165,119,46
2013,SJS,48,25,16,7,57,0.594,124,116,8
2013,STL,48,29,17,2,60,0.625,129,115,14
2013,TBL,48,18,26,4,40,0.417,148,150,-2
2013,TOR,48,26,17,5,57,0.594,145,133,12
2013,VAN,48,26,15,7,59,0.615,127,121,6
2013,WPG,48,24,21,3,51,0.531,128,144,-16
2013,WSH,48,27,18,3,57,0.594,149,130,19
2014,BOS,82,54,19,9,117,0.713,261,177,84
2014,BUF,82,21,51,10,52,0.317,157,248,-91
2014,CAR,82,36,35,11,83,0.506,207,230,-23
2014,CBJ,82,43,32,7,93,0.567,231,216,15
2014,CHI,82,46,21,15,107,0.652,267,220,47
2014,COL,82,52,22,8,112,0.683,250,220,30
2014,DAL,82,40,31,11,91,0.555,235,228,7
2014,DET,82,39,28,15,93,0.567,222,230,-8
2014,EDM,82,29,44,9,67,0.409,203,270,-67
2014,FLA,82,29,45,8,66,0.402,196,268,-72
2014,LAK,82,46,28,8,100,0.61,206,174,32
2014,MIN,82,43,27,12,98,0.598,207,206,1
2014,MTL,82,46,28,8,100,0.61,215,204,11
2014,NJD,82,35,29,18,88,0.537,197,208,-11
2014,NYI,82,34,37,11,79,0.482,225,267,-42
2014,NYR,82,45,31,6,96,0.585,218,193,25
2014,OTT,82,37,31,14,88,0.537,236,265,-29
2014,PHI,82,42,30,10,94,0.573,236,235,1
2014,PHX,82,37,30,15,89,0.543,216,231,-15
2014,PIT,82,51,24,7,109,0.665,249,207,42
2014,SJS,82,51,22,9,111,0.677,249,200,49
2014,STL,82,52,23,7,111,0.677,248,191,57
2014,TBL,82,46,27,9,101,0.616,240,215,25
2014,TOR,82,38,36,8,84,0.512,231,256,-25
2014,VAN,82,36,35,11,83,0.506,196,223,-27
2014,WPG,82,37,35,10,84,0.512,227,237,-10
2014,WSH,82,38,30,14,90,0.549,235,240,-5
2015,ARI,82,24,50,8,56,0.341,170,272,-102
2015,BOS,82,41,27,14,96,0.585,213,211,2
2015,BUF,82,23,51,8,54,0.329,161,274,-113
2015,CAR,82,30,41,11,71,0.433,188,226,-38
2015,CBJ,82,42,35,5,89,0.543,236,250,-14
2015,CHI,82,48,28,6,102,0.622,229,189,40
2015,COL,82,39,31,12,90,0.549,219,227,-8
2015,DAL,82,41,31,10,92,0.561,261,260,1
2015,DET,82,43,25,14,100,0.61,235,221,14
2015,EDM,82,24,44,14,62,0.378,198,283,-85
2015,FLA,82,38,29,15,91,0.555,206,223,-17
2015,LAK,82,40,27,15,95,0.579,220,205,15
2015,MIN,82,46,28,8,100,0.61,231,201,30
2015,MTL,82,50,22,10,110,0.671,221,189,32
2015,NJD,82,32,36,14,78,0.476,181,216,-35
2015,NYI,82,47,28,7,101,0.616,252,230,22
2015,NYR,82,53,22,7,113,0.689,252,192,60
2015,OTT,82,43,26,13,99,0.604,238,215,23
2015,PHI,82,33,31,18,84,0.512,215,234,-19
2015,PIT,82,43,27,12,98,0.598,221,210,11
2015,SJS,82,40,33,9,89,0.543,228,232,-4
2015,STL,82,51,24,7,109,0.665,248,201,47
2015,TBL,82,50,24,8,108,0.659,262,211,51
2015,TOR,82,30,44,8,68,0.415,211,262,-51
2015,VAN,82,48,29,5,101,0.616,242,222,20
2015,WPG,82,43,26,13,99,0.604,230,210,20
2015,WSH,82,45,26,11,101,0.616,242,203,39
2016,ARI,82,35,39,8,78,0.476,209,245,-36
2016,BOS,82,42,31,9,93,0.567,240,230,10
2016,BUF,82,35,36,11,81,0.494,201,222,-21
2016,CAR,82,35,31,16,86,0.524,198,226,-28
2016,CBJ,82,34,40,8,76,0.463,219,252,-33
2016,CHI,82,47,26,9,103,0.628,235,209,26
2016,COL,82,39,39,4,82,0.5,216,240,-24
2016,DAL,82,50,23,9,109,0.665,267,230,37
2016,DET,82,41,30,11,93,0.567,211,224,-13
2016,EDM,82,31,43,8,70,0.427,203,245,-42
2016,FLA,82,47,26,9,103,0.628,239,203,36
2016,LAK,82,48,28,6,102,0.622,225,195,30
2016,MIN,82,38,33,11,87,0.53,216,206,10
2016,MTL,82,38,38,6,82,0.5,221,236,-15
2016,NJD,82,38,36,8,84,0.512,184,208,-24
2016,NYI,82,45,27,10,100,0.61,232,216,16
2016,NYR,82,46,27,9,101,0.616,236,217,19
2016,OTT,82,38,35,9,85,0.518,236,247,-11
2016,PHI,82,41,27,14,96,0.585,214,218,-4
2016,PIT,82,48,26,8,104,0.634,245,203,42
2016,SJS,82,46,30,6,98,0.598,241,210,31
2016,STL,82,49,24,9,107,0.652,224,201,23
2016,TBL,82,46,31,5,97,0.591,227,201,26
2016,TOR,82,29,42,11,69,0.421,198,246,-48
2016,VAN,82,31,38,13,75,0.457,191,243,-52
2016,WPG,82,35,39,8,78,0.476,215,239,-24
2016,WSH,82,56,18,8,120,0.732,252,193,59
2017,ARI,82,30,42,10,70,0.427,197,260,-63
2017,BOS,82,44,31,7,95,0.579,234,212,22
2017,BUF,82,33,37,12,78,0.476,201,237,-36
2017,CAR,82,36,31,15,87,0.53,215,236,-21
2017,CBJ,82,50,24,8,108,0.659,249,195,54
2017,CHI,82,50,23,9,109,0.665,244,213,31
2017,COL,82,22,56,4,48,0.293,166,278,-112
2017,DAL,82,34,37,11,79,0.482,223,262,-39
2017,DET,82,33,36,13,79,0.482,207,244,-37
2017,EDM,82,47,26,9,103,0.628,247,212,35
2017,FLA,82,35,36,11,81,0.494,210,237,-27
2017,LAK,82,39,35,8,86,0.524,201,205,-4
2017,MIN,82,49,25,8,106,0.646,266,208,58
2017,MTL,82,47,26,9,103,0.628,226,200,26
2017,NJD,82,28,40,14,70,0.427,183,244,-61
2017,NYI,82,41,29,12,94,0.573,241,242,-1
2017,NYR,82,48,28,6,102,0.622,256,220,36
2017,OTT,82,44,28,10,98,0.598,212,214,-2
2017,PHI,82,39,33,10,88,0.537,219,236,-17
2017,PIT,82,50,21,11,111,0.677,282,234,48
2017,SJS,82,46,29,7,99,0.604,221,201,20
2017,STL,82,46,29,7,99,0.604,235,218,17
2017,TBL,82,42,30,10,94,0.573,234,227,7
2017,TOR,82,40,27,15,95,0.579,251,242,9
2017,VAN,82,30,43,9,69,0.421,182,243,-61
2017,WPG,82,40,35,7,87,0.53,249,256,-7
2017,WSH,82,55,19,8,118,0.72,263,182,81
2018,ARI,82,29,41,12,70,0.427,208,256,-48
2018,BOS,82,50,20,12,112,0.683,270,214,56
2018,BUF,82,25,45,12,62,0.378,199,280,-81
2018,CAR,82,36,35,11,83,0.506,228,256,-28
2018,CBJ,82,45,30,7,97,0.591,242,230,12
2018,CHI,82,33,39,10,76,0.463,229,256,-27
2018,COL,82,43,30,9,95,0.579,257,237,20
2018,DAL,82,42,32,8,92,0.561,235,225,10
2018,DET,82,30,39,13,73,0.445,217,255,-38
2018,EDM,82,36,40,6,78,0.476,234,263,-29
2018,FLA,82,44,30,8,96,0.585,248,246,2
2018,LAK,82,45,29,8,98,0.598,239,203,36
2018,MIN,82,45,26,11,101,0.616,253,232,21
2018,MTL,82,29,40,13,71,0.433,209,264,-55
2018,NJD,82,44,29,9,97,0.591,248,244,4
2018,NYI,82,35,37,10,80,0.488,264,296,-32
2018,NYR,82,34,39,9,77,0.47,231,268,-37
2018,OTT,82,28,43,11,67,0.409,221,291,-70
2018,PHI,82,42,26,14,98,0.598,251,243,8
2018,PIT,82,47,29,6,100,0.61,272,250,22
2018,SJS,82,45,27,10,100,0.61,252,229,23
2018,STL,82,44,32,6,94,0.573,226,222,4
2018,TBL,82,54,23,5,113,0.689,296,236,60
2018,TOR,82,49,26,7,105,0.64,277,232,45
2018,VAN,82,31,40,11,73,0.445,218,264,-46
2018,VGK,82,51,24,7,109,0.665,272,228,44
2018,WPG,82,52,20,10,114,0.695,277,218,59
2018,WSH,82,49,26,7,105,0.64,259,239,20
